city,lat,lng
Tepechitlan,21.6667,-103.3333
Almoloya del Rio,19.1586,-99.4886
Monte Escobedo,22.3,-103.5667
Santa Maria del Tule,17.0465,-96.6363
Santa Cruz Atizapan,19.1756,-99.4886
San Jose de Gracia,22.15,-102.4167
Santo Tomas de los Platanos,19.1817,-100.2589
San Joaquin,20.9833,-99.5
Ayapango,19.1264,-98.8028
Tlacotalpan,18.6167,-95.6667
Ahuacatlan,21.0536,-104.4869
Santa Barbara,26.8133,-105.8203
Tlanalapa,19.8167,-98.6
Rayon,19.1481,-99.58
Ahumada,30.6186,-106.5122
Seye,20.8372,-89.3719
Concordia,23.2883,-106.0675
Nopaltepec,19.7819,-98.7125
Tacotalpa,17.5931,-92.8258
Altar,30.7136,-111.8353
El Higo,21.7667,-98.45
Guerrero,28.5478,-107.4856
San Pablo Villa de Mitla,16.917,-96.4
Tenabo,20.0333,-90.2167
Omitlan de Juarez,20.1697,-98.6478
Cuauhtemoc,19.3281,-103.6028
Santa Maria Huatulco,15.85,-96.3333
Hopelchen,19.7444,-89.8453
Conkal,21.0733,-89.5208
Ciudad Cerralvo,26.0899,-99.6147
Tlalnepantla,19.01,-99
Kantunilkin,21.1,-87.4833
Santa Eulalia,28.5939,-105.8878
San Buenaventura,29.8333,-107.4667
Ixtenco,19.2514,-97.8942
Villa Diaz Ordaz,16.9981,-96.4314
Cosala,24.4125,-106.6917
Tetecala,18.7167,-99.3833
Naco,31.3269,-109.9478
Ixtapan del Oro,19.2614,-100.2628
Celestun,20.8583,-90.4
Ixcateopan de Cuauhtemoc,18.5,-99.7933
San Antonino Castillo Velasco,16.8031,-96.6839
San Miguel Panixtlahuaca,16.2597,-97.3781
Santa Maria del Oro,25.9333,-105.3667
Dzilam Gonzalez,21.28,-88.9292
Guadalupe y Calvo,26.095,-106.9644
Sahuaripa,29.05,-109.2333
Mapimi,25.8331,-103.8478
Rosales,28.2,-105.55
Panindicuaro,19.9828,-101.7606
Sotuta,20.5968,-89.0082
San Nicolas Tolentino,22.2489,-100.5525
San Simon de Guerrero,19.0225,-100.0067
Palo Alto,21.9167,-101.9667
General Bravo,25.8,-99.1667
Totontepec Villa de Morelos,17.2567,-96.0269
Gomez Farias,29.3583,-107.7361
Lampazos de Naranjo,27.025,-100.5056
Nombre de Dios,23.85,-104.2333
Benjamin Hill,30.1667,-111.1
Penon Blanco,24.7833,-104.0333
Panaba,21.2964,-88.2706
Tayoltita,24.0833,-105.9333
Santa Catarina,21.1406,-100.0619
Ocampo,22.8444,-99.3358
Angostura,25.3653,-108.1622
Erongaricuaro,19.5833,-101.7167
Apozol,21.4667,-103.0833
Coatecas Altas,16.5392,-96.6689
Mier,26.4306,-99.1486
Alto Lucero,19.6167,-96.7333
Otatitlan,18.1772,-96.0342
Huitzilac,19.0283,-99.2672
Chucandiro,19.9003,-101.3317
Santa Maria Mixtequilla,16.3737,-95.2605
Baca,21.1092,-89.3986
San Ignacio,23.9367,-106.4275
Asientos,22.2397,-102.0889
Texcalyacac,19.1542,-99.4819
Nueva Ciudad Guerrero,26.5661,-99.2272
Santiago Textitlan,16.6911,-97.2597
General Cepeda,25.379,-101.479
Santiago Chazumba,18.1889,-97.6806
Mina,26.0167,-100.5167
El Oro,26.8592,-105.8475
San Pablo Coatlan,16.2167,-96.7833
Valle de Allende,26.9333,-105.4
Castillo de Teayo,20.75,-97.6333
Suchil,23.6333,-103.9167
Santiago Huajolotitlan,17.8256,-97.7314
Chicxulub Pueblo,21.1364,-89.5167
Minatitlan,19.3833,-104.05
Hueypoxtla,19.9,-99.0833
Xpujil,18.5056,-89.3972
Apango,17.7414,-99.3281
Santa Catarina Loxicha,16.0667,-96.75
Timucuy,20.8106,-89.5133
Santa Lucia Ocotlan,16.7411,-96.6808
Huayacocotla,20.55,-98.4833
Ocampo,19.5831,-100.3389
Sucila,21.1544,-88.3136
San Marcos,20.7833,-104.1833
Bustamante,26.5333,-100.5
Papalotla,19.5622,-98.8578
Ixil,21.1522,-89.4822
Badiraguato,25.3631,-107.5517
Ocampo,27.3139,-102.3972
San Mateo Yoloxochitlan,18.1422,-96.8681
San Esteban Atatlahuca,17.0664,-97.6775
Ignacio Zaragoza,29.6433,-107.7639
Tixpehual,20.9778,-89.4417
Ozuluama de Mascarenas,21.6667,-97.85
General Enrique Estrada,23,-102.7333
Santa Cruz Mixtepec,16.8,-96.8667
Chamula,16.7875,-92.6892
Amatlan de Canas,20.8,-104.4
Cenotillo,20.9656,-88.6025
Aporo,19.6697,-100.4097
Antiguo Morelos,22.5497,-99.0847
Palizada,18.2546,-92.0915
La Union,17.9667,-101.8167
Guadalupe,31.3897,-106.1014
Yaxcaba,20.5481,-88.8272
San Andres Duraznal,17.1333,-92.8083
Cienega de Zimatlan,16.8833,-96.7667
Juchitan,16.6256,-98.6353
Guanacevi,25.932,-105.954
Nautla,20.2167,-96.7833
Pluma Hidalgo,15.9258,-96.4178
Calotmul,21.0189,-88.1769
San Sebastian Coatlan,16.2,-96.8333
La Pe,16.6333,-96.8
Matamoros,26.7625,-105.5847
Ucu,21.0308,-89.7469
